track,model,n_triggers,n_trades,entry_rate,mean_net,net_ci_low,net_ci_high,hit_rate,total_net,sharpe,max_drawdown,breakeven_bps,auc,auc_ci_low,auc_ci_high,precision,recall,brier
a,e0,1419,1419,1.0,-0.003378456939692504,-0.005118595376358453,-0.001625807426058944,0.4390415785764623,-4.794030397423663,-1.4060779553056333,-1.5498082916156064,1.5538576507687418,,,,,,
a,e1,1419,569,0.4009866102889359,-0.003895728443616557,-0.0071470901627813015,-0.00029828107048394573,0.44639718804920914,-2.216669484417821,-1.1426524188076883,-1.433266755779297,0.2606788909586079,0.5411711256398124,0.5064870832023451,0.5773211880176434,0.2618629173989455,0.42939481268011526,0.24814718237718425
a,e2,1419,3,0.0021141649048625794,-0.03206523559460025,-0.06564735441904576,-0.0054150737257692115,0.0,-0.09619570678380075,0.008110944727703798,-0.06731376292162408,-70.16308898650061,0.5421496623510689,0.5064884603117104,0.5784131062269089,0.3333333333333333,0.002881844380403458,0.18388313939403753
a,e3,1419,393,0.2769556025369979,-0.0013086797448502209,-0.005333657753292952,0.0028934299464200086,0.5267175572519084,-0.5143111397261368,-0.4221745767766114,-0.8527688661625425,6.72830063787445,0.5189712460750999,0.4854853524458356,0.5536467196499821,0.26463104325699743,0.29971181556195964,0.2717707342530397
b,e0,1500,1500,1.0,-0.0032844928500074316,-0.0054111351237407035,-0.0011645574472048381,0.4886666666666667,-4.926739275011148,-0.6374953138757723,-1.1907738088422362,1.788767874981423,,,,,,
b,e1,1500,665,0.44333333333333336,-0.0019407620690561516,-0.005913200455750211,0.0017423385133152594,0.5067669172932331,-1.2906067759223407,-0.3109960980004671,-0.8765501694380968,5.148094827359623,0.5802387767857795,0.548611190612368,0.6129571724707837,0.2887218045112782,0.5318559556786704,0.24525498392828618
b,e2,1500,33,0.022,-0.0034216639259376036,-0.048503512774253334,0.036051999126969034,0.5454545454545454,-0.11291490955594093,0.11692211104992593,-0.12133577788279806,1.4458401851559992,0.58059142125449,0.5488203250322484,0.6135299492719964,0.45454545454545453,0.04155124653739612,0.1801403954775628
b,e3,1500,486,0.324,-0.002395297574525929,-0.006693761491016331,0.0019485389904658266,0.49588477366255146,-1.1641146212196014,-0.43470433311699275,-1.1494604457578539,4.011756063685182,0.5671909314434833,0.5331149747761763,0.5984138491872368,0.2839506172839506,0.38227146814404434,0.2380594943549864
