date,close,volume
2014-01-02,39.66808319091797,7414400
2014-01-03,39.76326370239258,5323500
2014-01-06,39.913970947265625,8426800
2014-01-07,39.81877517700195,7746900
2014-01-08,39.263545989990234,9136100
2014-01-09,39.35079574584961,7931400
2014-01-10,40.07261276245117,8833900
2014-01-13,39.32699966430664,6782800
2014-01-14,39.977439880371094,5998500
2014-01-15,40.16779708862305,6307800
2014-01-16,40.374019622802734,6671700
2014-01-17,40.18365478515625,9615200
2014-01-21,39.48564147949219,20956400
2014-01-22,40.088478088378906,9465400
2014-01-23,39.747413635253906,8907500
2014-01-24,38.557586669921875,12308400
2014-01-27,38.4624137878418,9199300
2014-01-28,38.33549118041992,7845300
2014-01-29,38.232383728027344,10183200
2014-01-30,39.21595764160156,9450500
2014-01-31,38.874874114990234,9205100
2014-02-03,38.33549118041992,9646000
2014-02-04,39.15249252319336,10563700
2014-02-05,39.08110809326172,9686300
2014-02-06,40.26297378540039,13018800
2014-02-07,41.222755432128906,13031400
2014-02-10,41.1434326171875,8101900
2014-02-11,42.70603942871094,12006000
2014-02-12,42.13494110107422,11083600
2014-02-13,42.404624938964844,8131500
2014-02-14,42.49187088012695,6746700
2014-02-18,42.93606948852539,8515000
2014-02-19,43.25335693359375,7914300
2014-02-20,43.92757797241211,8761100
2014-02-21,43.86412811279297,8785900
2014-02-24,44.71284484863281,9481900
2014-02-25,44.08621597290039,11065400
2014-02-26,43.75307083129883,6173000
2014-02-27,44.173458099365234,6897800
2014-02-28,45.212554931640625,10221500
2014-03-03,44.838775634765625,8840000
2014-03-04,45.25232696533203,6616700
2014-03-05,44.68765640258789,7542300
2014-03-06,45.26823806762695,5802400
2014-03-07,44.69562911987305,8816900
2014-03-10,44.91035842895508,6005400
2014-03-11,44.31388854980469,10055500
2014-03-12,44.05143356323242,8437700
2014-03-13,43.94009017944336,8788200
2014-03-14,43.89237594604492,7917400
2014-03-17,45.0296516418457,6121200
2014-03-18,45.25232696533203,5547500
2014-03-19,45.15688705444336,6058600
2014-03-20,45.618167877197266,5458000
2014-03-21,46.174869537353516,11955100
2014-03-24,45.95218276977539,6163100
2014-03-25,47.03379440307617,7398300
2014-03-26,46.42142868041992,6259000
2014-03-27,46.19873046875,10475700
2014-03-28,47.28828048706055,6106700
2014-03-31,46.83497619628906,7407300
2014-04-01,47.42348861694336,7968700
2014-04-02,47.66207504272461,6821800
2014-04-03,47.558685302734375,7054400
2014-04-04,47.16899490356445,8602100
2014-04-07,45.618167877197266,11201800
2014-04-08,46.53276443481445,8215000
2014-04-09,46.75543975830078,5946300
2014-04-10,46.05558395385742,8225300
2014-04-11,45.816986083984375,8030900
2014-04-14,46.986087799072266,7298700
2014-04-15,47.69388961791992,9410000
2014-04-16,48.11540603637695,6413500
2014-04-17,48.43352127075195,11675200
2014-04-21,50.040016174316406,13992300
2014-04-22,50.405853271484375,9373600
2014-04-23,51.471534729003906,13811600
2014-04-24,50.49332809448242,10324200
2014-04-25,49.99230194091797,7973200
2014-04-28,49.928672790527344,7738900
2014-04-29,50.111576080322266,8503100
2014-04-30,50.1592903137207,7502500
2014-05-01,50.03206253051758,5100200
2014-05-02,50.7875862121582,7514400
2014-05-05,50.82735061645508,4736200
2014-05-06,50.5172004699707,4927600
2014-05-07,51.48745346069336,6633000
2014-05-08,50.445613861083984,5927000
2014-05-09,50.501285552978516,5415500
2014-05-12,51.03412628173828,3994800
2014-05-13,50.97846221923828,5790800
2014-05-14,50.89097213745117,6044400
2014-05-15,49.602596282958984,9560800
2014-05-16,49.98434829711914,6699300
2014-05-19,50.2706413269043,4475800
2014-05-20,50.00821304321289,3910100
2014-05-21,50.23884201049805,4555300
2014-05-22,50.42970275878906,5045800
2014-05-23,50.90687942504883,4912200
2014-05-27,50.87507247924805,4178300
2014-05-28,50.45355987548828,5814500
2014-05-29,50.8989372253418,5780400
2014-05-30,51.40791702270508,6392200
2014-06-02,51.82244110107422,5784100
2014-06-03,52.26882553100586,5000800
2014-06-04,52.12535095214844,4478800
2014-06-05,52.52393341064453,4359800
2014-06-06,53.3928108215332,5387900
2014-06-09,53.54427719116211,5228100
2014-06-10,53.496437072753906,3518100
2014-06-11,53.36093521118164,3373100
2014-06-12,53.12178421020508,9660500
2014-06-13,53.871116638183594,5617700
2014-06-16,53.895015716552734,4491600
2014-06-17,53.895015716552734,3588500
2014-06-18,54.6044807434082,6269400
2014-06-19,54.98710632324219,4837200
2014-06-20,55.99151611328125,10044700
