date,close,volume
2014-01-02,19.178794860839844,31833300
2014-01-03,19.171358108520508,27796700
2014-01-06,18.93338966369629,28682300
2014-01-07,19.030059814453125,19665100
2014-01-08,18.911083221435547,29680500
2014-01-09,18.821842193603516,20878000
2014-01-10,18.985445022583008,30588800
2014-01-13,18.963136672973633,40274500
2014-01-14,19.71422576904297,74142900
2014-01-15,19.833209991455078,58277700
2014-01-16,19.736534118652344,48960800
2014-01-17,19.22341537475586,111758900
2014-01-21,19.030059814453125,42286400
2014-01-22,18.821842193603516,48749900
2014-01-23,18.687990188598633,40241000
2014-01-24,18.450016021728516,34838700
2014-01-27,18.383081436157227,32564900
2014-01-28,18.516942977905273,32453800
2014-01-29,18.35334014892578,27145700
2014-01-30,18.397960662841797,24610100
2014-01-31,18.249231338500977,28623300
2014-02-03,17.81047248840332,52868200
2014-02-04,17.71379852294922,50816300
2014-02-05,17.657489776611328,32476200
2014-02-06,18.010347366333008,28008400
2014-02-07,18.175506591796875,30808400
2014-02-10,18.235565185546875,24571300
2014-02-11,18.37070083618164,17911700
2014-02-12,18.430755615234375,25874100
2014-02-13,18.54336929321289,22922000
2014-02-14,18.588420867919922,20539700
2014-02-18,18.588420867919922,17738100
2014-02-19,18.393224716186523,25686000
2014-02-20,18.573402404785156,20193800
2014-02-21,18.333160400390625,30579800
2014-02-24,18.49081802368164,24145500
2014-02-25,18.48331069946289,21539100
2014-02-26,18.61844253540039,19820200
2014-02-27,18.588420867919922,20863900
2014-02-28,18.588420867919922,23482700
2014-03-03,18.393224716186523,25728500
2014-03-04,18.475801467895508,23661200
2014-03-05,18.393224716186523,21036200
2014-03-06,18.49081802368164,22371700
2014-03-07,18.49832534790039,25373400
2014-03-10,18.648475646972656,24908100
2014-03-11,18.565889358520508,26656800
2014-03-12,18.588420867919922,21244800
2014-03-13,18.445775985717773,26243300
2014-03-14,18.393224716186523,21807200
2014-03-17,18.54336929321289,18525800
2014-03-18,18.63346290588379,26344000
2014-03-19,18.783607482910156,34229400
2014-03-20,19.09141731262207,37009100
2014-03-21,18.896224975585938,56861900
2014-03-24,18.858678817749023,36950600
2014-03-25,19.113937377929688,32317400
2014-03-26,19.053876876831055,26442800
2014-03-27,19.00132942199707,27201100
2014-03-28,19.23405647277832,22884500
2014-03-31,19.376693725585938,29336300
2014-04-01,19.511829376220703,23778700
2014-04-02,19.436750411987305,22464700
2014-04-03,19.827138900756836,38581300
2014-04-04,19.639455795288086,47918000
2014-04-07,19.8872013092041,49813500
2014-04-08,20.202510833740234,56699500
2014-04-09,20.255064010620117,34481800
2014-04-10,19.8421630859375,40478200
2014-04-11,19.654470443725586,36121100
2014-04-14,19.93975830078125,26957900
2014-04-15,20.097410202026367,45074400
2014-04-16,20.217529296875,59033600
2014-04-17,20.30010986328125,38108500
2014-04-21,20.232545852661133,20398600
2014-04-22,20.14996337890625,29601600
2014-04-23,20.0823917388916,25574300
2014-04-24,20.0823917388916,25432800
2014-04-25,19.714529037475586,33614400
2014-04-28,19.76708221435547,33472800
2014-04-29,19.87969398498535,22146000
2014-04-30,20.037349700927734,25863900
2014-05-01,19.857173919677734,19755200
