date,close,volume
2014-01-02,31.395633697509766,4571100
2014-01-03,31.068275451660156,4340900
2014-01-06,31.370468139648438,6308600
2014-01-07,32.37144470214844,13196200
2014-01-08,32.648441314697266,11679200
2014-01-09,33.30317306518555,10718100
2014-01-10,33.5172233581543,10079200
2014-01-13,32.41550064086914,8201400
2014-01-14,32.97580337524414,7616000
2014-01-15,32.509944915771484,12472000
2014-01-16,32.031471252441406,10525800
2014-01-17,32.37144470214844,6719300
2014-01-21,32.667327880859375,5769800
2014-01-22,32.07554626464844,6802200
2014-01-23,32.2644157409668,10802000
2014-01-24,30.873109817504883,10778900
2014-01-27,31.206768035888672,7473000
2014-01-28,31.6033878326416,6949400
2014-01-29,32.358848571777344,11733900
2014-01-30,32.36515808105469,6472300
2014-01-31,32.169979095458984,6419000
2014-02-03,30.753498077392578,9502900
2014-02-04,30.369468688964844,15607400
2014-02-05,29.192214965820312,16094600
2014-02-06,29.702146530151367,8936500
2014-02-07,30.734607696533203,10149300
2014-02-10,29.968936920166016,7963500
2014-02-11,30.260021209716797,6560500
2014-02-12,30.1461181640625,5882200
2014-02-13,31.01302719116211,6790000
2014-02-14,31.550905227661133,7041800
2014-02-18,32.10776138305664,7265300
2014-02-19,31.95589828491211,8071400
2014-02-20,31.380062103271484,11254300
2014-02-21,31.785043716430664,6853400
2014-02-24,32.221675872802734,6666800
2014-02-25,32.9620361328125,6448500
2014-02-26,32.09511184692383,7266700
2014-02-27,30.696632385253906,15322000
2014-02-28,30.36125946044922,9533400
2014-03-03,30.595394134521484,7244000
2014-03-04,31.14592170715332,10617300
2014-03-05,31.816679000854492,7892100
2014-03-06,33.461936950683594,13403300
2014-03-07,33.53154373168945,7758300
2014-03-10,33.835296630859375,8090400
2014-03-11,33.96184158325195,7848500
2014-03-12,34.98695373535156,13018900
2014-03-13,34.19596481323242,8917500
2014-03-14,34.316200256347656,8596900
2014-03-17,34.37314987182617,6887300
2014-03-18,34.854068756103516,5723900
2014-03-19,34.38581085205078,5009400
2014-03-20,34.92367172241211,6930000
2014-03-21,34.03776550292969,9178000
2014-03-24,34.25292205810547,6723400
2014-03-25,34.40478515625,5810200
2014-03-26,34.1326904296875,6181100
2014-03-27,33.01265335083008,7698800
2014-03-28,33.449275970458984,5656100
2014-03-31,33.60114669799805,5721100
2014-04-01,35.126163482666016,8715200
2014-04-02,34.70853805541992,6669000
2014-04-03,35.303340911865234,5746800
2014-04-04,34.411128997802734,6973900
2014-04-07,32.84812927246094,10304100
2014-04-08,32.683616638183594,8747000
2014-04-09,33.506229400634766,5823700
2014-04-10,32.86078643798828,5180600
2014-04-11,32.24698257446289,5937900
2014-04-14,32.93672561645508,6014200
2014-04-15,33.8985595703125,7006600
2014-04-16,35.39827346801758,9455700
2014-04-17,35.436241149902344,8013200
2014-04-21,35.575462341308594,4841500
2014-04-22,35.78427505493164,8450700
2014-04-23,35.727317810058594,4387800
2014-04-24,35.78427505493164,4026500
2014-04-25,35.86021041870117,5527500
2014-04-28,36.682838439941406,9807000
2014-04-29,35.9677848815918,8043700
2014-04-30,36.176605224609375,7455800
2014-05-01,36.5182991027832,5992700
2014-05-02,36.64487838745117,6601000
2014-05-05,36.8663330078125,6595600
2014-05-06,37.0245361328125,7560000
2014-05-07,36.587928771972656,7327100
2014-05-08,35.94880676269531,4827000
2014-05-09,35.39193344116211,6610000
2014-05-12,35.61342239379883,5775100
2014-05-13,35.670372009277344,6531000
2014-05-14,35.76529312133789,5933400
2014-05-15,35.32865905761719,5251100
2014-05-16,34.866722106933594,6769700
2014-05-19,35.13370895385742,4374200
2014-05-20,34.911224365234375,5622400
2014-05-21,34.47261047363281,8100600
2014-05-22,34.75231170654297,3498300
2014-05-23,34.66967010498047,4190300
2014-05-27,34.161128997802734,6710500
2014-05-28,35.400691986083984,9424000
2014-05-29,36.00458908081055,4925900
2014-05-30,35.62954330444336,5156100
2014-06-02,35.92194747924805,3083200
2014-06-03,35.21635818481445,5640500
2014-06-04,34.67601776123047,6608600
2014-06-05,35.3689079284668,5216700
2014-06-06,35.1019287109375,3065000
2014-06-09,34.86037826538086,3906000
2014-06-10,33.88142776489258,8205000
2014-06-11,33.81150436401367,7261000
2014-06-12,34.205631256103516,9069000
2014-06-13,34.161128997802734,3923700
2014-06-16,33.91322326660156,4963400
2014-06-17,34.396324157714844,4571900
2014-06-18,35.3689079284668,6858600
2014-06-19,36.290645599365234,8741700
2014-06-20,36.462276458740234,6674900
2014-06-23,36.43048095703125,4432200
2014-06-24,35.591392517089844,6602800
2014-06-25,32.64186096191406,44023700
2014-06-26,33.226688385009766,15469900
2014-06-27,32.845272064208984,10680800
2014-06-30,31.8472843170166,13570200
2014-07-01,31.98712158203125,14612500
2014-07-02,32.31132125854492,8326600
2014-07-03,32.41938781738281,4336800
2014-07-07,31.955347061157227,6025100
2014-07-08,31.2561092376709,10177500
2014-07-09,31.32602310180664,9118400
2014-07-10,31.28152084350586,7465700
2014-07-11,31.8536376953125,7377200
2014-07-14,31.739212036132812,6380500
2014-07-15,31.96169662475586,13451200
2014-07-16,31.82185173034668,7478900
2014-07-17,31.046314239501953,7430700
2014-07-18,31.02725601196289,6728200
2014-07-21,30.397945404052734,7915900
2014-07-22,30.423362731933594,6755200
2014-07-23,30.73484992980957,6123700
2014-07-24,30.94462013244629,5637200
2014-07-25,31.275177001953125,5077400
2014-07-28,31.173458099365234,6627900
2014-07-29,31.688356399536133,9926400
2014-07-30,31.82185173034668,10023400
2014-07-31,32.2922477722168,11041800
2014-08-01,32.06340408325195,7027700
2014-08-04,32.050689697265625,5645100
2014-08-05,31.612079620361328,5956900
2014-08-06,32.58466339111328,7191300
2014-08-07,32.324031829833984,5074900
2014-08-08,32.64822769165039,4448800
2014-08-11,32.44481658935547,3960300
2014-08-12,32.43209457397461,3648700
2014-08-13,32.62916564941406,6514600
2014-08-14,33.55088424682617,6819800
2014-08-15,33.366539001464844,6434600
2014-08-18,34.07265853881836,6392400
2014-08-19,34.6030387878418,5072800
2014-08-20,34.46885681152344,4570500
2014-08-21,34.19406509399414,5242200
2014-08-22,34.385780334472656,3437700
2014-08-25,34.622222900390625,3706900
2014-08-26,34.36022186279297,4514100
2014-08-27,34.66693878173828,4323200
2014-08-28,34.609439849853516,3367700
2014-08-29,34.59665298461914,3793400
2014-09-02,34.13656997680664,4868100
2014-09-03,33.95763397216797,5551400
