feature,coefficient
f_abs_z,0.07960443643054618
f_spread_vol_60d,0.03749147596795917
f_resid_mom_5d,-0.03776288661396178
f_mkt_vol_20d,0.17313083297321463
f_rel_volume_20d,0.007658779726269115
f_days_since_trigger,0.07495821564683448
f_cluster_stability,-0.0070237177696520535
