track,model,split,n_trades,mean_gross,mean_net_headline
a,e0,trainval,1419,0.0006215430603074967,-0.003378456939692504
a,e1,trainval,569,0.00010427155638344317,-0.003895728443616557
a,e2,trainval,3,-0.02806523559460025,-0.03206523559460025
a,e3,trainval,393,0.0026913202551497803,-0.0013086797448502209
b,e0,trainval,1500,0.0007155071499925692,-0.0032844928500074316
b,e1,trainval,665,0.002059237930943849,-0.0019407620690561516
b,e2,trainval,33,0.0005783360740623997,-0.0034216639259376036
b,e3,trainval,486,0.0016047024254740726,-0.002395297574525929
